Library	License	Homepage	About	Memo
vulkan-memory-allocator-hpp	CC0-1.0	https://github.com/YaaZ/VulkanMemoryAllocator-Hpp	C++ bindings for VulkanMemoryAllocator	
vxl			A multi-platform collection of C++ software libraries for Computer Vision and Image Understanding.	
wampcc	MIT		Wampcc is C++ library that implements the Web Application Messaging Protocol (WAMP) protocol.	
wangle	Apache-2.0	https://github.com/facebook/wangle	Wangle is a framework providing a set of common client/server abstractions for building services in a consistent, modular, and composable way.	
wasmedge	Apache-2.0	https://WasmEdge.org	WasmEdge is a high-performance WebAssembly runtime for edge computing.	
wavelib	BSD-3-Clause	https://github.com/rafat/wavelib	C implementation of wavelet transform (DWT,SWT and MODWT)	
wavpack	BSD-3-Clause	https://github.com/dbry/WavPack	WavPack encode/decode library, command-line programs, and several plugins	
wayland	MIT	https://wayland.freedesktop.org	Core Wayland window system code and protocol	
wayland-protocols	MIT	https://wayland.freedesktop.org	wayland-protocols contains Wayland protocols that add functionality not available in the Wayland core protocol.	
websocketpp		https://github.com/zaphoyd/websocketpp	Library that implements RFC6455 The WebSocket Protocol	
webview2	BSD-3-Clause	https://docs.microsoft.com/en-us/microsoft-edge/webview2	The WebView2 control allows you to embed web technologies (HTML, CSS, and JavaScript) using Microsoft Edge	
wepoll		https://github.com/piscisaureus/wepoll	Fast epoll for windows	
wg21-linear-algebra	NCSA		A linear algebra proposal for the C++ standard library	
wg21-sg14		https://github.com/WG21-SG14/SG14	A library for Study Group 14 of Working Group 21 (C++)	
wil	MIT	https://github.com/microsoft/wil	The Windows Implementation Libraries (WIL) is a header-only C++ library created to make life easier for developers on Windows through readable type-safe C++ interfaces for common Windows coding patterns.	
wildmidi	LGPL-3.0-only	https://github.com/Mindwerks/wildmidi	MIDI software synthesizer library.	
wincrypt			Windows Cryptography.	
winlamb	MIT	https://github.com/rodrigocfd/winlamb	A lightweight modern C++11 library for Win32 API, using lambdas to handle Windows messages.	
winpcap		https://www.winpcap.org	WinPcap is the industry-standard tool for link-layer network access in Windows environments.	
winpty			winpty is a Windows software package providing an interface similar to a Unix pty-master for communicating with Windows console programs	
winreg	MIT	https://github.com/GiovanniDicanio/WinReg	High-level C++ wrapper around the Windows Registry C API.	
winsock2	None		Windows Sockets.	
winsparkle	MIT	https://winsparkle.org	WinSparkle is an easy-to-use software update library for Windows developers.	
wintoast			WinToast is a lightly library written in C++ which brings a complete integration of the modern toast notifications of Windows 8 & Windows 10.	
woff2			font compression reference code	
wolfmqtt	GPL-2.0-or-later	https://wolfssl.com	MQTT library used with wolfSSL library for many platforms	
wolfssl	GPL-2.0-or-later	https://wolfssl.com	TLS and Cryptographic library for many platforms	
wolftpm	GPL-2.0-or-later	https://wolfssl.com	TPM library used with wolfSSL library for many platforms	
wordnet			WordNet is a large lexical database of English	
workflow	Apache-2.0	https://github.com/sogou/workflow	About C++ Parallel Computing and Asynchronous Networking Engine	
wpilib	None	https://github.com/wpilibsuite/allwpilib	WPILib is the software library package for the FIRST Robotics Competition. The core install includes wpiutil, a common utilies library, and ntcore, the base NetworkTables library.	
wren	MIT	https://github.com/wren-lang/wren	Wren is a small, fast, class-based concurrent scripting language.	
wt	GPL-2.0-only	https://github.com/emweb/wt	Wt is a C++ library for developing web applications	
wtl	MS-PL	https://sourceforge.net/projects/wtl/	Windows Template Library (WTL) is a C++ library for developing Windows applications and UI components.	
wxchartdir	GPL-3.0-only AND LGPL-3.0 AND wxWindows	https://github.com/utelle/wxchartdir	wxChartDir provides components for the integration and use of the commercial C++ library ChartDirector, a universal chart component developed by Advanced Software Engineering Ltd, in wxWidgets based applications.	
wxcharts	MIT	https://www.wxishiko.com/wxCharts	Chart controls for the wxWidgets cross-platform GUI library	
wxwidgets	LGPL-2.0-or-later WITH WxWindows-exception-3.1	https://github.com/wxWidgets/wxWidgets	['Widget toolkit and tools library for creating graphical user interfaces (GUIs) for cross-platform applications. ', 'Set WXWIDGETS_USE_STL in a custom triplet to build with the wxUSE_STL build option.', 'Set WXWIDGETS_USE_STD_CONTAINERS in a custom triplet to build with the wxUSE_STD_CONTAINERS build option.']	
wyhash	Unlicense	https://github.com/wangyi-fudan/wyhash	The FASTEST QUALITY hash function, random number generators (PRNG) and hash map.	
x-plane		https://developer.x-plane.com/sdk/	The X-Plane Plugin SDK	
x264	GPL-2.0-or-later	https://www.videolan.org/developers/x264.html	x264 is a free software library and application for encoding video streams into the H.264/MPEG-4 AVC compression format	
x265	GPL-2.0-or-later	https://github.com/videolan/x265	x265 is a H.265 / HEVC video encoder application library, designed to encode video or images into an H.265 / HEVC encoded bitstream.	
xapian	GPL-2.0-or-later	https://github.com/xapian/xapian	Xapian is an Open Source Search Engine Library, released under the GPL v2+. It's written in C++, with bindings to allow use from Perl, Python 2, Python 3, PHP 5, PHP 7, Java, Tcl, C#, Ruby, Lua, Erlang, Node.js and R (so far!)	
xaudio2redist	None	https://aka.ms/XAudio2Redist	Redistributable version of XAudio 2.9 for Windows 7 SP1 or later	
xbitmaps	None	https://gitlab.freedesktop.org/xorg/data/bitmaps	X BitMap (XBM) format bitmaps commonly used in X.Org applications	
xbyak	BSD-3-Clause	https://github.com/herumi/xbyak	Xbyak is a JIT assembler for x86(IA-32)/x64(AMD64, x86-64).	
xcb	X11-distribute-modifications-variant	https://xcb.freedesktop.org/	C interface to the X Window System protocol, which replaces the traditional Xlib interface.	
xcb-image	None	https://xcb.freedesktop.org/	XCB port of Xlib's XImage and XShmImage functions.	
xcb-keysyms	None	https://xcb.freedesktop.org/	Standard X key constants and conversion to/from keycodes	
xcb-proto	None	https://xcb.freedesktop.org/	XML-XCB protocol descriptions used by libxcb for the X11 protocol & extensions	
xcb-render-util	None	https://xcb.freedesktop.org/	XCB convenience functions for the Render extension.	
xcb-util	None	https://xcb.freedesktop.org/	C interface to the X Window System protocol, which replaces the traditional Xlib interface.	
xcb-util-errors	None	https://xcb.freedesktop.org/	XCB utility library that gives human readable names to error, event, & request codes.	
xcb-util-m4	None	https://gitlab.freedesktop.org/xorg/util/xcb-util-m4	GNU autoconf macros shared across XCB projects	
xcb-util-wm	None	https://gitlab.freedesktop.org/xorg/lib/libxcb-wm/	XCB client and window-manager helpers for ICCCM & EWMH.	
xerces-c	Apache-2.0	https://github.com/apache/xerces-c	Xerces-C++ is a XML parser, for parsing, generating, manipulating, and validating XML documents using the DOM, SAX, and SAX2 APIs.	
xeus	BSD-3-Clause	https://github.com/jupyter-xeus/xeus	C++ implementation of the Jupyter kernel protocol	
xframe		https://github.com/xtensor-stack/xframe	xframe is a dataframe for C++, based on xtensor and xtl.	
xlnt	MIT OR BSD-3-Clause OR BSD-2-Clause OR LGPL-3.0-only OR BSL-1.0	https://github.com/tfussell/xlnt	Cross-platform user-friendly xlsx library for C++14	
xlsxio	MIT	https://github.com/brechtsanders/xlsxio	Cross-platform C library for reading values from and writing values to .xlsx files	
xmlsec	X11 AND MPL-1.1	https://www.aleksey.com/xmlsec/	XML Security Library is a C library based on LibXML2. The library supports major XML security standards.	
xnnpack	BSD-3-Clause	https://github.com/google/XNNPACK	High-efficiency floating-point neural network inference operators for mobile, server, and Web	
xorg-macros	None	https://xcb.freedesktop.org/	X.org macros utilities.	
xorstr	Apache-2.0	https://github.com/JustasMasiulis/xorstr	Heavily vectorized c++17 compile time string encryption	
xpack	Apache-2.0	https://github.com/xyz347/xpack	Convert C++ struct from/to json/xml	
xproperty			Traitlets-like C++ properties and implementation of the observer pattern	
xproto	None	https://gitlab.freedesktop.org/xorg/proto/xorgproto	X Window System unified protocol definitions	
xqilla	Apache-2.0	http://xqilla.sourceforge.net/HomePage	XQuery and XPath 2 library	
xsimd	BSD-3-Clause	https://github.com/xtensor-stack/xsimd	Modern, portable C++ wrappers for SIMD intrinsics	
xtensor	BSD-3-Clause	https://github.com/xtensor-stack/xtensor	C++ tensors with broadcasting and lazy computing	
xtensor-blas		https://github.com/xtensor-stack/xtensor-blas	BLAS extension to xtensor	
xtensor-fftw		https://github.com/xtensor-stack/xtensor-fftw	FFTW bindings for the xtensor C++14 multi-dimensional array library	
xtensor-io		https://github.com/xtensor-stack/xtensor-io	xtensor plugin to read and write images, audio files, numpy (compressed) npz and HDF5	
xtl		https://github.com/xtensor-stack/xtl	The x template library	
xtrans	None	https://gitlab.freedesktop.org/xorg/lib/libxtrans	xtrans - X Network Transport layer shared code	
xxhash		https://github.com/Cyan4973/xxHash	Extremely fast hash algorithm	
yajl	ISC	https://github.com/lloyd/yajl	Yet Another JSON Library	
yaml-cpp		https://github.com/jbeder/yaml-cpp	yaml-cpp is a YAML parser and emitter in C++ matching the YAML 1.2 spec.	
yara	BSD-3-Clause	https://github.com/VirusTotal/yara	The pattern matching swiss knife	
yas		https://github.com/niXman/yas	Yet Another Serialization is a header only serialization library	
yasm	BSD-2-Clause OR BSD-3-Clause OR Artistic-1.0 OR GPL-2.0-only OR LGPL-2.0-only	https://github.com/yasm/yasm	Yasm is a complete rewrite of the NASM assembler under the new BSD License.	
yasm-tool			Legacy port. Use port yasm instead.	
yasm-tool-helper		https://github.com/Microsoft/vcpkg	Backfill that depends on yasm:host	
yato	Apache-2.0		Modern C++14 containers and utilities, actors system, typesafe config	
yoga	MIT	https://github.com/facebook/yoga	Yoga is a cross-platform layout engine which implements Flexbox	
yomm2		https://github.com/jll63/yomm2	YOMM2 is an implementation of open multi-methods.	
yyjson	MIT	https://github.com/ibireme/yyjson	A high performance JSON library written in ANSI C	
z3	MIT	https://github.com/Z3Prover/z3	Z3 is a theorem prover from Microsoft Research	
z4kn4fein-semver	MIT	https://github.com/z4kn4fein/cpp-semver	Semantic Versioning 2.0.0 library for modern C++	
z85			Z85 is a binary-to-text encoding library. It implements ZeroMQ Base-85 Encoding Algorithm and provides custom padding.	
zeroc-ice	None	https://github.com/zeroc-ice/ice	Comprehensive RPC framework with support for C++, CSharp, Java, JavaScript, Python and more.	
zeromq	LGPL-3.0-only	https://github.com/zeromq/libzmq	The ZeroMQ lightweight messaging kernel is a library which extends the standard socket interfaces with features traditionally provided by specialised messaging middleware products	
zfp	BSD-3-Clause	https://github.com/LLNL/zfp	Zfp is an open source C/C++ library for compressed numerical arrays that support high throughput read and write random access. zfp also supports streaming compression of integer and floating-point data, e.g., for applications that read and write large data sets to and from disk. zfp is primarily written in C and C++ but also includes Python and Fortran bindings.	
zint	None	https://github.com/zint/zint	A barcode encoding library supporting over 50 symbologies	
zkpp		https://github.com/tgockel/zookeeper-cpp	A ZooKeeper client for C++.	
zlib	Zlib	https://www.zlib.net/	A compression library	
zlib-ng	Zlib	https://github.com/zlib-ng/zlib-ng	zlib replacement with optimizations for 'next generation' systems	
zookeeper	BSD-3-Clause	https://github.com/apache/zookeeper	ZooKeeper C bindings	
zopfli	Apache-2.0	https://github.com/google/zopfli	Zopfli Compression Algorithm compression library programmed in C	
zpp-bits	MIT	https://github.com/eyalz800/zpp_bits	A lightweight C++20 serialization and RPC library	
zserge-webview	MIT	https://github.com/webview/webview	Tiny cross-platform webview library for C/C++/Golang.	
